t,period,dataset,kt,kt_upper,kt_lower,Rt,Rt_upper,Rt_lower
2021-03-06,COVID Wave 3,primary,0.6723713685417785,1.3475953144992283,0.3738586676344545,0.8605162207254131,1.1454829206536816,0.5818930064883666
2021-03-07,COVID Wave 3,primary,0.40748828950639226,0.7430728480393479,0.22791072147410002,0.7288493739289184,0.9997802498264847,0.4762028565854103
2021-03-08,COVID Wave 3,primary,0.3213244100085296,0.7046704491911171,0.1589458568464129,0.44594647466505394,0.6470398970918353,0.26471430664787493
2021-03-09,COVID Wave 3,primary,0.14751057145886862,0.3329437893717938,0.061241090349760906,0.24560129140982545,0.3913613900399793,0.11592279992054244
2021-03-10,COVID Wave 3,primary,0.16022182403482993,0.46242614838532503,0.051022154583103524,0.1653710180578742,0.27934786999846367,0.07353342785671245
2021-03-11,COVID Wave 3,primary,0.10463459816316842,0.3355721291488194,0.028273043323346476,0.11002331646470034,0.1999471181157178,0.050001473056942844
2021-03-12,COVID Wave 3,primary,0.06882356591209632,0.1958210781765637,0.01587157438556562,0.06734991613480638,0.15381860377113296,0.019159760477048534
2021-03-13,COVID Wave 3,primary,0.07257778548698768,0.20342091700300213,0.016090534747879786,0.07813544298984094,0.1691446345633651,0.02208524803551695
2021-03-14,COVID Wave 3,primary,0.07633200506187905,0.21102075582944058,0.01630949511019395,0.0889209698448755,0.18447066535559722,0.025010735593985364
2021-03-15,COVID Wave 3,primary,0.08008622463677043,0.21862059465587902,0.016528455472508117,0.09970649669991005,0.19979669614782936,0.027936223152453782
2021-03-16,COVID Wave 3,primary,0.08384044421166179,0.22622043348231746,0.016747415834822282,0.11049202355494461,0.21512272694006151,0.030861710710922197
2021-03-17,COVID Wave 3,primary,0.08759466378655315,0.2338202723087559,0.016966376197136448,0.12127755040997917,0.23044875773229362,0.03378719826939061
2021-03-18,COVID Wave 3,primary,0.09134888336144452,0.24142011113519435,0.017185336559450613,0.13206307726501373,0.24577478852452578,0.036712685827859026
2021-03-19,COVID Wave 3,primary,0.09510310293633589,0.2490199499616328,0.01740429692176478,0.1428486041200483,0.2611008193167579,0.03963817338632744
2021-03-20,COVID Wave 3,primary,0.09885732251122725,0.25661978878807123,0.017623257284078944,0.15363413097508286,0.27642685010899004,0.042563660944795856
2020-01-24,COVID Wave 1,sensitivity,0.5459799423441806,3.1279229674308784,0.2328514868907703,1.1069819623059562,1.8277046579890053,0.5172902205039501
2020-01-25,COVID Wave 1,sensitivity,0.3897513882401951,1.6909803718683916,0.16202146045759824,0.9565395266505773,1.6247571292740148,0.43750465297706
2020-01-26,COVID Wave 1,sensitivity,0.266102730380507,1.298274223067256,0.10905391336488945,0.7611228526086059,1.3822736683186652,0.29413858033848106
2020-01-27,COVID Wave 1,sensitivity,0.23613575118811342,1.0225313405059562,0.09540993101325482,0.7118834359547634,1.2431238893101204,0.29728630714367626
2020-01-28,COVID Wave 1,sensitivity,0.21748746479703762,0.958727356855755,0.09041665021789712,0.64983763784661,1.1537453290663606,0.2564130746843416
2020-01-29,COVID Wave 1,sensitivity,0.1504451186299634,0.5119670190510495,0.06308272252359962,0.5814176232647607,1.075275270014817,0.22502804768416299
2020-01-30,COVID Wave 1,sensitivity,0.11614331226135546,0.2899007919852682,0.03659263037942857,0.25736809913642683,0.44431326586401243,0.1388631300754516
2020-01-31,COVID Wave 1,sensitivity,0.13687783964833905,0.33894976393465226,0.0401577219694294,0.27596273178263536,0.45447283214267764,0.15150706597354335
2020-02-01,COVID Wave 1,sensitivity,0.06922126083291386,0.15122247313795567,0.024860084571085905,0.7848005316283775,1.4294547923152086,0.46423029165367313
2020-02-02,COVID Wave 1,sensitivity,0.12663249776427735,1.3335479364619562,0.0401612171870993,0.6551913327851544,1.3293577217313004,0.1612882183102755
2020-02-03,COVID Wave 1,sensitivity,0.14761787845473384,1.8493025765427065,0.04476972755419888,0.7219916928561221,1.499421060727022,0.17853069947314334
2020-02-04,COVID Wave 1,sensitivity,0.227024242592952,1.4426171712718732,0.09654723352052984,0.887066204082307,1.6295752676335908,0.2961617160940384
2020-02-05,COVID Wave 1,sensitivity,0.26970979008588714,1.5441041030232368,0.10793874204099466,0.9954737793438542,1.8344730711395574,0.33548393024831763
2020-02-06,COVID Wave 1,sensitivity,0.3019329199087505,1.831408907251162,0.11959341842819991,1.0865115349805685,2.0459111429012413,0.3635964790924726
2020-02-07,COVID Wave 1,sensitivity,0.35476069940379795,2.003978546621929,0.14633436774173594,1.1686912387968642,2.1704971653037726,0.4545108134530974
2020-02-08,COVID Wave 1,sensitivity,0.41013622078300827,2.7244206382104768,0.1743647448678154,1.2868435784829846,2.3198227431658545,0.5000251695385121
2020-02-09,COVID Wave 1,sensitivity,0.36877295911836594,2.316395067769736,0.16070819932022803,1.1645568861172841,2.1724355996701536,0.41821271594699483
2020-02-10,COVID Wave 1,sensitivity,0.37292938471488685,2.006617097360506,0.14873411282842552,1.1469271758130921,2.130561277771048,0.4348322326696064
2020-02-11,COVID Wave 1,sensitivity,0.7405950329514448,6.207981425284586,0.2112423088152803,0.6013311411761407,0.999961229654533,0.23812928416124138
2020-02-12,COVID Wave 1,sensitivity,0.40590424309300843,1.6732295150831327,0.10854883103051843,0.5390746031805769,0.9444985495146307,0.22221880994685606
2020-02-13,COVID Wave 1,sensitivity,0.44036458619770713,4.321606745203857,0.11840536576325858,0.5136526370606992,0.9390901633571935,0.21050414113679697
2020-02-14,COVID Wave 1,sensitivity,0.6004665378621754,2.0426674568508276,0.052548913439228434,0.2822475724765332,0.47062910573738476,0.11761146755447432
2020-02-15,COVID Wave 1,sensitivity,0.6004665378621754,2.0426674568508276,0.052548913439228434,0.28895887053643066,0.47062910573738476,0.11761146755447432
2020-02-16,COVID Wave 1,sensitivity,0.6749980915226839,2.626462256417031,0.056252204374322615,0.302732888632724,0.49993468295905985,0.12494862286927863
2020-02-17,COVID Wave 1,sensitivity,0.28104947448212875,1.0487363360755135,0.060578798074143264,0.4551744638869044,0.800144813005005,0.1999491252691344
2020-02-18,COVID Wave 1,sensitivity,0.27313893937907596,1.441924394275439,0.0596400588164361,0.4790443690262142,0.8573312956215039,0.2142954028958191
2020-02-19,COVID Wave 1,sensitivity,0.30487434460615775,1.5552864940291482,0.04539552395921036,0.5151785477965916,0.9230995602994178,0.23084010771513835
2020-02-20,COVID Wave 1,sensitivity,0.17238886066894457,0.9255630620719894,0.049695131964747875,0.46098070804630553,0.8329254731757937,0.24997150003710303
2020-02-21,COVID Wave 1,sensitivity,0.14173825769759407,0.6660240119932113,0.04178006479141469,0.3962009147038998,0.7141305259799087,0.21420934952178572
2020-02-22,COVID Wave 1,sensitivity,0.15554066921457443,0.7759722706789737,0.04538452873520803,0.4286119093946132,0.7694006947386036,0.23079143467899632
2020-02-23,COVID Wave 1,sensitivity,0.15554066921457443,0.7759722706789737,0.04538452873520803,0.43565859174320226,0.7694006947386036,0.23079143467899632
2020-02-24,COVID Wave 1,sensitivity,0.33067208414643434,1.4408143898325754,0.04177973496968884,0.4552019584609867,0.7571161501195778,0.21432159420371946
2020-02-25,COVID Wave 1,sensitivity,0.3689051370074937,1.7503392345586801,0.04541579836728177,0.5079632269960354,0.8463220365258082,0.23074184313777796
2020-02-26,COVID Wave 1,sensitivity,0.7891854819271006,5.204394776341873,0.1555300037479819,0.5748226593369775,0.9231304767928948,0.30745949749281354
2020-02-27,COVID Wave 1,sensitivity,0.7952047105633114,4.3160039895006514,0.1837198838519922,0.635652399149894,1.0256642534486515,0.3588502180598311
2020-02-28,COVID Wave 1,sensitivity,0.8012239391995224,3.4276132026594297,0.21190976395600253,0.6964821389628105,1.1281980301044083,0.4102409386268486
2020-02-29,COVID Wave 1,sensitivity,0.8072431678357332,2.5392224158182075,0.24009964406001283,0.757311878775727,1.2307318067601651,0.4616316591938661
