t,sse,n,k_input
27,ssn,1.5117845117845117,0.5
27,ss_link,6.175084175084175,0.5
27,nn,5.942760942760943,0.5
28,ssn,1.6094276094276094,0.5
28,ss_link,7.239057239057239,0.5
28,nn,6.6632996632996635,0.5
29,ssn,1.8922558922558923,0.5
29,ss_link,8.070707070707071,0.5
29,nn,7.653198653198653,0.5
30,ssn,2.12,0.5
30,ss_link,8.983333333333333,0.5
30,nn,8.606666666666667,0.5
31,ssn,2.4214046822742477,0.5
31,ss_link,10.34448160535117,0.5
31,nn,9.591973244147157,0.5
32,ssn,2.6233333333333335,0.5
32,ss_link,11.386666666666667,0.5
32,nn,10.97,0.5
33,ssn,3.0433333333333334,0.5
33,ss_link,12.236666666666666,0.5
33,nn,12.21,0.5
34,ssn,3.296666666666667,0.5
34,ss_link,14.063333333333333,0.5
34,nn,13.516666666666667,0.5
35,ssn,3.77,0.5
35,ss_link,15.336666666666666,0.5
35,nn,15.49,0.5
36,ssn,4.3133333333333335,0.5
36,ss_link,17.37,0.5
36,nn,17.403333333333332,0.5
37,ssn,4.6066666666666665,0.5
37,ss_link,19.363333333333333,0.5
37,nn,19.37,0.5
38,ssn,5.386666666666667,0.5
38,ss_link,21.85,0.5
38,nn,21.73,0.5
39,ssn,6.023333333333333,0.5
39,ss_link,24.696666666666665,0.5
39,nn,24.533333333333335,0.5
40,ssn,6.72,0.5
40,ss_link,27.49,0.5
40,nn,27.39666666666667,0.5
41,ssn,7.51,0.5
41,ss_link,30.403333333333332,0.5
41,nn,30.463333333333335,0.5
42,ssn,8.61,0.5
42,ss_link,34.88,0.5
42,nn,33.946666666666665,0.5
43,ssn,9.493333333333334,0.5
43,ss_link,38.766666666666666,0.5
43,nn,38.11333333333334,0.5
44,ssn,10.436666666666667,0.5
44,ss_link,43.78,0.5
44,nn,43.75666666666667,0.5
45,ssn,11.983333333333333,0.5
45,ss_link,49.086666666666666,0.5
45,nn,47.63666666666666,0.5
46,ssn,13.563333333333333,0.5
46,ss_link,55.78333333333333,0.5
46,nn,53.97,0.5
47,ssn,15,0.5
47,ss_link,62.74,0.5
47,nn,60.39666666666667,0.5
48,ssn,16.67,0.5
48,ss_link,69.82666666666667,0.5
48,nn,68.21333333333334,0.5
49,ssn,18.67,0.5
49,ss_link,77.28,0.5
49,nn,75.89,0.5
50,ssn,21.223333333333333,0.5
50,ss_link,87.30333333333333,0.5
50,nn,86.31333333333333,0.5
51,ssn,23.856666666666666,0.5
51,ss_link,97.9,0.5
51,nn,95.97,0.5
52,ssn,26.886666666666667,0.5
52,ss_link,109.88333333333334,0.5
52,nn,107.85666666666667,0.5
53,ssn,29.56,0.5
53,ss_link,123.72,0.5
53,nn,120.72333333333333,0.5
54,ssn,33.596666666666664,0.5
54,ss_link,138.38666666666666,0.5
54,nn,134.82,0.5
55,ssn,37.50666666666667,0.5
55,ss_link,155.08666666666667,0.5
55,nn,152.87333333333333,0.5
56,ssn,42.486666666666665,0.5
56,ss_link,175.29666666666665,0.5
56,nn,170.29,0.5
57,ssn,46.95,0.5
57,ss_link,194.40666666666667,0.5
57,nn,192.68,0.5
58,ssn,53.18,0.5
58,ss_link,220.40666666666667,0.5
58,nn,215.56,0.5
59,ssn,58.92,0.5
59,ss_link,245.58,0.5
59,nn,240.67333333333335,0.5
60,ssn,2.993333333333333,0.5
60,ss_link,308.8666666666667,0.5
60,nn,302.1433333333333,0.5
61,ssn,3.3866666666666667,0.5
61,ss_link,345.16,0.5
61,nn,338.20666666666665,0.5
62,ssn,3.6666666666666665,0.5
62,ss_link,386.1766666666667,0.5
62,nn,379.87666666666667,0.5
63,ssn,3.6333333333333333,0.5
63,ss_link,414.43,0.5
63,nn,414.25333333333333,0.5
64,ssn,3.92,0.5
64,ss_link,393.53,0.5
64,nn,427.44666666666666,0.5
65,ssn,3.44,0.5
65,ss_link,310.07,0.5
65,nn,408.44666666666666,0.5
66,ssn,2.743333333333333,0.5
66,ss_link,209.65,0.5
66,nn,382.9266666666667,0.5
67,ssn,2.493333333333333,0.5
67,ss_link,126.95333333333333,0.5
67,nn,367.42,0.5
68,ssn,1.9066666666666667,0.5
68,ss_link,72.88666666666667,0.5
68,nn,365.6333333333333,0.5
69,ssn,1.93,0.5
69,ss_link,45.56333333333333,0.5
69,nn,360.14,0.5
70,ssn,1.7233333333333334,0.5
70,ss_link,31.62,0.5
70,nn,346.58,0.5
71,ssn,1.59,0.5
71,ss_link,25.106666666666666,0.5
71,nn,322.92333333333335,0.5
72,ssn,1.4866666666666666,0.5
72,ss_link,20.78,0.5
72,nn,289.51666666666665,0.5
73,ssn,1.2733333333333334,0.5
73,ss_link,17.33,0.5
73,nn,253.57,0.5
74,ssn,1.0933333333333333,0.5
74,ss_link,15.353333333333333,0.5
74,nn,224.70666666666668,0.5
75,ssn,0.9833333333333333,0.5
75,ss_link,13.67,0.5
75,nn,202.96333333333334,0.5
76,ssn,0.81,0.5
76,ss_link,12.53,0.5
76,nn,181.14333333333335,0.5
77,ssn,0.7866666666666666,0.5
77,ss_link,11.376666666666667,0.5
77,nn,165.49666666666667,0.5
78,ssn,0.7033333333333334,0.5
78,ss_link,10.273333333333333,0.5
78,nn,148.8,0.5
79,ssn,0.74,0.5
79,ss_link,8.673333333333334,0.5
79,nn,132.38,0.5
80,ssn,0.5433333333333333,0.5
80,ss_link,7.756666666666667,0.5
80,nn,118.88333333333334,0.5
81,ssn,0.5566666666666666,0.5
81,ss_link,6.93,0.5
81,nn,106.08,0.5
82,ssn,0.47,0.5
82,ss_link,6.266666666666667,0.5
82,nn,95.06333333333333,0.5
83,ssn,0.4866666666666667,0.5
83,ss_link,5.5,0.5
83,nn,84.00666666666666,0.5
84,ssn,0.4633333333333333,0.5
84,ss_link,5.296666666666667,0.5
84,nn,76.29333333333334,0.5
85,ssn,0.3466666666666667,0.5
85,ss_link,4.456666666666667,0.5
85,nn,67.79666666666667,0.5
86,ssn,0.34,0.5
86,ss_link,4.23,0.5
86,nn,61.056666666666665,0.5
87,ssn,0.2966666666666667,0.5
87,ss_link,3.816666666666667,0.5
87,nn,55.276666666666664,0.5
88,ssn,0.20333333333333334,0.5
88,ss_link,3.61,0.5
88,nn,49.276666666666664,0.5
89,ssn,0.24,0.5
89,ss_link,3.3333333333333335,0.5
89,nn,43.906666666666666,0.5
90,ssn,0.15,0.5
90,ss_link,2.9,0.5
90,nn,39.2,0.5
91,ssn,0.18666666666666668,0.5
91,ss_link,2.533333333333333,0.5
91,nn,35.913333333333334,0.5
92,ssn,0.16333333333333333,0.5
92,ss_link,2.3066666666666666,0.5
92,nn,31.703333333333333,0.5
93,ssn,0.15666666666666668,0.5
93,ss_link,2.223333333333333,0.5
93,nn,28.683333333333334,0.5
94,ssn,0.09666666666666666,0.5
94,ss_link,1.9266666666666667,0.5
94,nn,26.376666666666665,0.5
95,ssn,0.10333333333333333,0.5
95,ss_link,1.4366666666666668,0.5
95,nn,23.03,0.5
96,ssn,0.07407407407407407,0.5
96,ss_link,1.3602693602693603,0.5
96,nn,20.754208754208754,0.5
97,ssn,0.06756756756756757,0.5
97,ss_link,1.3445945945945945,0.5
97,nn,18.50337837837838,0.5
98,ssn,0.06418918918918919,0.5
98,ss_link,1.1452702702702702,0.5
98,nn,16.736486486486488,0.5
99,ssn,0.07046979865771812,0.5
99,ss_link,0.9530201342281879,0.5
99,nn,14.949664429530202,0.5
100,ssn,0.0684931506849315,0.5
100,ss_link,0.8732876712328768,0.5
100,nn,14.013698630136986,0.5
101,ssn,0.06802721088435375,0.5
101,ss_link,0.7006802721088435,0.5
101,nn,12.850340136054422,0.5
102,ssn,0.0547945205479452,0.5
102,ss_link,0.6198630136986302,0.5
102,nn,11.373287671232877,0.5
103,ssn,0.05136986301369863,0.5
103,ss_link,0.5856164383561644,0.5
103,nn,10.034246575342467,0.5
104,ssn,0.03806228373702422,0.5
104,ss_link,0.5017301038062284,0.5
104,nn,9.093425605536332,0.5
105,ssn,0.035842293906810034,0.5
105,ss_link,0.43010752688172044,0.5
105,nn,8.702508960573477,0.5
106,ssn,0.05454545454545454,0.5
106,ss_link,0.5454545454545454,0.5
106,nn,7.501818181818182,0.5
107,ssn,0.05555555555555555,0.5
107,ss_link,0.48518518518518516,0.5
107,nn,7.159259259259259,0.5
108,ssn,0.05128205128205128,0.5
108,ss_link,0.37362637362637363,0.5
108,nn,6.282051282051282,0.5
109,ssn,0.022727272727272728,0.5
109,ss_link,0.375,0.5
109,nn,5.484848484848484,0.5
110,ssn,0.019011406844106463,0.5
110,ss_link,0.33460076045627374,0.5
110,nn,5.319391634980988,0.5
111,ssn,0.01953125,0.5
111,ss_link,0.44921875,0.5
111,nn,4.87890625,0.5
112,ssn,0.032388663967611336,0.5
112,ss_link,0.3967611336032389,0.5
112,nn,4.477732793522267,0.5
113,ssn,0.01646090534979424,0.5
113,ss_link,0.25925925925925924,0.5
113,nn,3.9012345679012346,0.5
114,ssn,0.01293103448275862,0.5
114,ss_link,0.3620689655172414,0.5
114,nn,3.7543103448275863,0.5
115,ssn,0.017857142857142856,0.5
115,ss_link,0.26785714285714285,0.5
115,nn,3.4375,0.5
116,ssn,0.013215859030837005,0.5
116,ss_link,0.23788546255506607,0.5
116,nn,3.237885462555066,0.5
117,ssn,0.027777777777777776,0.5
117,ss_link,0.18055555555555555,0.5
117,nn,2.8981481481481484,0.5
118,ssn,0.004878048780487805,0.5
118,ss_link,0.21951219512195122,0.5
